X,Y,Thickness(nm)
-25.66,55.9,92.446
-12.79,55.9,114.045
0.08,55.9,120.764
12.95,55.9,107.527
25.82,46.63,116.724
12.95,46.63,143.025
0.08,46.63,152.4
-12.79,46.63,155.327
-25.66,46.63,132.282
-38.53,46.63,87.01
-51.4,46.63,157.786
-51.4,37.36,74.166
-38.53,37.36,119.698
-25.66,37.36,146.513
-12.79,37.36,158.134
0.08,37.36,152.219
12.95,37.36,153.702
25.82,37.36,135.114
38.69,37.36,102.352
38.69,28.09,118.831
25.82,28.09,140.893
12.95,28.09,155.169
0.08,28.09,157.536
-12.79,28.09,160.137
-25.66,28.09,150.471
-38.53,28.09,131.215
-51.4,28.09,86.99
-64.27,28.09,161.508
-64.27,18.82,69.565
-51.4,18.82,103.48
-38.53,18.82,139.269
-25.66,18.82,151.341
-12.79,18.82,159.119
0.08,18.82,155.54
12.95,18.82,153.277
25.82,18.82,138.487
38.69,18.82,120.329
51.56,18.82,83.316
51.56,9.55,97.481
38.69,9.55,124.406
25.82,9.55,139.654
12.95,9.55,154.341
0.08,9.55,155.39
-12.79,9.55,149.261
-25.66,9.55,153.383
-38.53,9.55,134.184
-51.4,9.55,111.92
-64.27,9.55,44.706
-64.27,0.28,39.513
-51.4,0.28,110.418
-38.53,0.28,129.787
-25.66,0.28,151.742
-12.79,0.28,149.937
0.08,0.28,150.933
12.95,0.28,143.173
25.82,0.28,140.787
38.69,0.28,122.076
51.56,0.28,96.82
51.56,-8.99,95.778
38.69,-8.99,120.324
25.82,-8.99,136.383
12.95,-8.99,143.877
0.08,-8.99,149.107
-12.79,-8.99,149.838
-25.66,-8.99,145.511
-38.53,-8.99,135.16
-51.4,-8.99,109.26
-64.27,-8.99,38.509
-64.27,-18.26,61.575
-51.4,-18.26,90.401
-38.53,-18.26,130.77
-25.66,-18.26,140.47
-12.79,-18.26,147.602
0.08,-18.26,147.144
12.95,-18.26,142.469
25.82,-18.26,135.239
38.69,-18.26,117.21
51.56,-18.26,80.648
51.56,-27.53,56.403
38.69,-27.53,113.541
25.82,-27.53,133.118
12.95,-27.53,144.503
0.08,-27.53,143.327
-12.79,-27.53,144.687
-25.66,-27.53,136.644
-38.53,-27.53,117.82
-51.4,-27.53,67.54
-64.27,-27.53,138.338
-51.4,-36.8,55.927
-38.53,-36.8,101.898
-25.66,-36.8,130.446
-12.79,-36.8,141.317
0.08,-36.8,143.772
12.95,-36.8,138.397
25.82,-36.8,131.785
38.69,-36.8,98.645
38.69,-46.07,65.913
25.82,-46.07,113.751
12.95,-46.07,134.634
0.08,-46.07,141.792
-12.79,-46.07,137.138
-25.66,-46.07,113.498
-38.53,-46.07,70.66
-51.4,-46.07,50.867
-38.53,-55.34,116.62
-25.66,-55.34,76.132
-12.79,-55.34,113.248
0.08,-55.34,122.948
12.95,-55.34,110.534
25.82,-55.34,86.171
