X(mm),Y(mm),Velocity(mm/s)
-43.7736,76.9811,100.000000
-39.7484,76.9811,100.000000
-35.7233,76.9811,100.000000
-31.6981,76.9811,100.000000
-27.6730,76.9811,100.000000
-23.6478,76.9811,100.000000
-19.6226,76.9811,100.000000
-15.5975,76.9811,100.000000
-11.5723,76.9811,100.000000
-7.5472,76.9811,100.000000
-3.5220,76.9811,100.000000
0.5031,76.9811,100.000000
4.5283,76.9811,100.000000
8.5535,76.9811,100.000000
12.5786,76.9811,100.000000
16.6038,76.9811,100.000000
20.6289,76.9811,100.000000
24.6541,76.9811,100.000000
28.6792,76.9811,100.000000
32.7044,76.9811,100.000000
36.7296,76.9811,100.000000
40.7547,76.9811,100.000000
44.7799,76.9811,100.000000
-51.8239,72.9560,100.000000
-47.7987,72.9560,100.000000
-43.7736,72.9560,100.000000
-39.7484,72.9560,100.000000
-35.7233,72.9560,100.000000
-31.6981,72.9560,100.000000
-27.6730,72.9560,100.000000
-23.6478,72.9560,100.000000
-19.6226,72.9560,99.663849
-15.5975,72.9560,99.603770
-11.5723,72.9560,99.693881
-7.5472,72.9560,74.783132
-3.5220,72.9560,76.063754
0.5031,72.9560,66.157019
4.5283,72.9560,72.088903
8.5535,72.9560,79.936506
12.5786,72.9560,84.469655
16.6038,72.9560,100.000000
20.6289,72.9560,100.000000
24.6541,72.9560,100.000000
28.6792,72.9560,100.000000
32.7044,72.9560,100.000000
36.7296,72.9560,100.000000
40.7547,72.9560,100.000000
44.7799,72.9560,100.000000
48.8050,72.9560,100.000000
-55.8491,68.9308,100.000000
-51.8239,69.6308,100.000000
-51.8239,68.9308,100.000000
-47.7987,68.9308,100.000000
-43.7736,68.9308,100.000000
-39.7484,68.9308,100.000000
-35.7233,68.9308,100.000000
-31.6981,68.9308,99.903949
-27.6730,68.9308,98.906687
-23.6478,68.9308,79.537001
-19.6226,68.9308,43.419581
-15.5975,68.9308,47.972194
-11.5723,68.9308,72.645375
-7.5472,68.9308,66.700000
-3.5220,68.9308,33.400000
0.5031,68.9308,33.400000
4.5283,68.9308,33.988406
8.5535,68.9308,33.400000
12.5786,68.9308,67.423336
16.6038,68.9308,69.652445
20.6289,68.9308,47.426649
24.6541,68.9308,74.094473
28.6792,68.9308,91.573446
32.7044,68.9308,100.000000
36.7296,68.9308,100.000000
40.7547,68.9308,100.000000
44.7799,68.9308,100.000000
48.8050,68.9308,100.000000
52.8302,68.9308,100.000000
56.8553,68.9308,100.000000
-59.8742,64.9057,100.000000
-55.8491,64.9057,100.000000
-51.8239,64.9057,100.000000
-47.7987,64.9057,100.000000
-43.7736,64.9057,100.000000
-39.7484,64.9057,99.393322
-35.7233,64.9057,95.850470
-31.6981,64.9057,62.323894
-27.6730,64.9057,13.857672
-23.6478,64.9057,67.582825
-19.6226,64.9057,55.600000
-15.5975,64.9057,22.300000
-11.5723,64.9057,0.100000
-7.5472,64.9057,11.206712
-3.5220,64.9057,33.400000
0.5031,64.9057,0.100000
4.5283,64.9057,0.100000
8.5535,64.9057,44.500000
12.5786,64.9057,0.100000
16.6038,64.9057,0.100000
20.6289,64.9057,66.700000
24.6541,64.9057,23.182825
28.6792,65.6057,100.000000
28.6792,64.9057,57.946901
32.7044,64.9057,75.135634
36.7296,64.9057,89.360864
40.7547,64.9057,100.000000
44.7799,64.9057,100.000000
48.8050,64.9057,100.000000
52.8302,64.9057,100.000000
56.8553,64.9057,100.000000
60.8805,64.9057,100.000000
-63.8994,60.8805,100.000000
-59.8742,60.8805,100.000000
-55.8491,60.8805,100.000000
-51.8239,60.8805,100.000000
-47.7987,60.8805,100.000000
-43.7736,60.8805,97.602761
-39.7484,60.8805,89.823687
-35.7233,60.8805,32.138918
-31.6981,60.8805,66.700000
-27.6730,60.8805,11.200000
-23.6478,60.8805,0.100000
-19.6226,60.8805,0.100000
-15.5975,60.8805,0.100000
-11.5723,60.8805,0.100000
-7.5472,60.8805,0.100000
-3.5220,60.8805,0.100000
0.5031,60.8805,0.100000
4.5283,60.8805,0.100000
8.5535,60.8805,0.100000
12.5786,60.8805,0.100000
16.6038,60.8805,0.100000
20.6289,60.8805,0.100000
24.6541,60.8805,88.900000
28.6792,60.8805,0.100000
32.7044,60.8805,1.149148
36.7296,60.8805,53.574740
40.7547,60.8805,73.087788
44.7799,60.8805,98.155295
48.8050,60.8805,100.000000
52.8302,60.8805,100.000000
56.8553,60.8805,100.000000
60.8805,60.8805,100.000000
64.9057,60.8805,100.000000
-67.9245,56.8553,100.000000
-63.8994,56.8553,100.000000
-59.8742,56.8553,100.000000
-55.8491,56.8553,100.000000
-51.8239,56.8553,100.000000
-47.7987,56.8553,84.166052
-43.7736,56.8553,64.550867
-39.7484,56.8553,57.759488
-35.7233,57.5553,100.000000
-35.7233,56.8553,55.600000
-31.6981,56.8553,11.200000
-27.6730,56.8553,0.100000
-23.6478,56.8553,0.100000
-19.6226,56.8553,0.100000
-15.5975,56.8553,0.100000
-11.5723,56.8553,0.100000
-7.5472,56.8553,0.100000
-3.5220,56.8553,0.100000
0.5031,56.8553,0.100000
4.5283,56.8553,0.100000
8.5535,56.8553,0.100000
12.5786,56.8553,0.100000
16.6038,56.8553,0.100000
20.6289,56.8553,0.100000
24.6541,56.8553,77.800000
28.6792,56.8553,33.400000
32.7044,56.8553,77.800000
36.7296,56.8553,11.200000
40.7547,56.8553,14.568050
44.7799,56.8553,71.352194
48.8050,56.8553,93.246849
52.8302,56.8553,100.000000
56.8553,56.8553,100.000000
60.8805,56.8553,100.000000
64.9057,56.8553,100.000000
68.9308,56.8553,100.000000
-71.9497,52.8302,100.000000
-67.9245,52.8302,100.000000
-63.8994,52.8302,100.000000
-59.8742,52.8302,100.000000
-55.8491,52.8302,100.000000
-51.8239,52.8302,80.504855
-47.7987,52.8302,25.448491
-43.7736,52.8302,77.857131
-39.7484,52.8302,11.200000
-35.7233,52.8302,0.100000
-31.6981,52.8302,0.100000
-27.6730,52.8302,0.100000
-23.6478,52.8302,0.100000
-19.6226,52.8302,0.100000
-15.5975,52.8302,0.100000
-11.5723,52.8302,0.100000
-7.5472,52.8302,0.100000
-3.5220,52.8302,0.100000
0.5031,52.8302,0.100000
4.5283,52.8302,0.100000
8.5535,52.8302,0.100000
12.5786,52.8302,0.100000
16.6038,52.8302,0.100000
20.6289,53.5302,100.000000
20.6289,52.8302,0.100000
24.6541,52.8302,0.100000
28.6792,52.8302,0.100000
32.7044,52.8302,0.100000
36.7296,52.8302,77.803967
40.7547,52.8302,11.200000
44.7799,52.8302,1.652230
48.8050,52.8302,75.851231
52.8302,52.8302,91.786297
56.8553,52.8302,100.000000
60.8805,52.8302,100.000000
64.9057,52.8302,100.000000
68.9308,52.8302,100.000000
-71.9497,48.8050,100.000000
-67.9245,48.8050,100.000000
-63.8994,48.8050,100.000000
-59.8742,48.8050,100.000000
-55.8491,48.8050,86.150326
-51.8239,48.8050,44.510843
-47.7987,48.8050,0.100000
-43.7736,48.8050,0.100000
-39.7484,48.8050,0.100000
-35.7233,48.8050,0.100000
-31.6981,48.8050,0.100000
-27.6730,48.8050,0.100000
-23.6478,48.8050,0.100000
-19.6226,48.8050,0.100000
-15.5975,48.8050,0.100000
-11.5723,48.8050,0.100000
-7.5472,48.8050,0.100000
-3.5220,48.8050,0.100000
0.5031,48.8050,0.100000
4.5283,48.8050,0.100000
8.5535,48.8050,0.100000
12.5786,48.8050,0.100000
16.6038,48.8050,0.100000
20.6289,48.8050,0.100000
24.6541,48.8050,0.100000
28.6792,48.8050,0.100000
32.7044,48.8050,0.100000
36.7296,48.8050,88.900000
40.7547,48.8050,66.700000
44.7799,48.8050,66.700000
48.8050,48.8050,1.087238
52.8302,48.8050,75.851231
56.8553,48.8050,94.849258
60.8805,48.8050,100.000000
64.9057,48.8050,100.000000
68.9308,48.8050,100.000000
72.9560,48.8050,100.000000
-75.9748,49.5050,100.000000
-75.9748,44.7799,100.000000
-71.9497,44.7799,100.000000
-67.9245,44.7799,100.000000
-63.8994,44.7799,100.000000
-59.8742,44.7799,94.057254
-55.8491,44.7799,31.854418
-51.8239,44.7799,11.200000
-47.7987,44.7799,0.100000
-43.7736,44.7799,0.100000
-39.7484,44.7799,0.100000
-35.7233,44.7799,0.100000
-31.6981,44.7799,0.100000
-27.6730,44.7799,0.100000
-23.6478,44.7799,0.100000
-19.6226,44.7799,0.100000
-15.5975,44.7799,0.100000
-11.5723,44.7799,0.100000
-7.5472,44.7799,0.100000
-3.5220,44.7799,0.100000
0.5031,44.7799,0.100000
4.5283,44.7799,0.100000
8.5535,44.7799,0.100000
12.5786,44.7799,0.100000
16.6038,44.7799,0.100000
20.6289,44.7799,0.100000
24.6541,44.7799,0.100000
28.6792,44.7799,0.100000
32.7044,44.7799,0.100000
36.7296,44.7799,11.200000
40.7547,44.7799,0.100000
44.7799,44.7799,0.100000
48.8050,44.7799,77.800000
52.8302,44.7799,11.257131
56.8553,44.7799,71.352194
60.8805,44.7799,98.155295
64.9057,44.7799,100.000000
68.9308,44.7799,100.000000
72.9560,44.7799,100.000000
76.9811,44.7799,100.000000
-80.0000,40.7547,100.000000
-75.9748,40.7547,100.000000
-71.9497,40.7547,100.000000
-67.9245,40.7547,100.000000
-63.8994,40.7547,99.873955
-59.8742,40.7547,91.188306
-55.8491,40.7547,23.508562
-51.8239,40.7547,0.100000
-47.7987,40.7547,0.100000
-43.7736,40.7547,0.100000
-39.7484,40.7547,0.100000
-35.7233,41.4547,100.000000
-35.7233,40.7547,0.100000
-31.6981,40.7547,0.100000
-27.6730,40.7547,0.100000
-23.6478,40.7547,0.100000
-19.6226,40.7547,0.100000
-15.5975,40.7547,0.100000
-11.5723,40.7547,0.100000
-7.5472,40.7547,0.100000
-3.5220,40.7547,0.100000
0.5031,40.7547,0.100000
4.5283,40.7547,0.100000
8.5535,40.7547,0.100000
12.5786,40.7547,0.100000
16.6038,40.7547,0.100000
20.6289,40.7547,0.100000
24.6541,40.7547,0.100000
28.6792,40.7547,0.100000
32.7044,40.7547,0.100000
36.7296,40.7547,0.100000
