CreateDate,05/21/2025,,,
Mode,B-Mode,,,
Point,X-Position,X-Speed,Y-Position,Y-Speed
1,-13.5,100,206.62,186.588595280352
2,-13.5,0,204.62,185.362763149931
3,-13.5,0,202.62,184.136818140662
4,-13.5,0,200.62,183.399801993153
5,-13.5,0,198.62,183.130041553835
6,-13.5,0,196.62,182.819655700327
7,-13.5,0,194.62,182.471110820042
8,-13.5,0,192.62,182.195499425581
9,-13.5,0,190.62,182.761979079603
10,-13.5,0,188.62,185.511271020711
11,-13.5,0,186.62,187.066381674661
12,-13.5,0,184.62,185.895955975883
13,-13.5,0,182.62,184.738826875987
14,-13.5,0,180.62,183.596967449738
15,-13.5,0,178.62,182.472444746795
16,-13.5,0,176.62,167.513114377627
17,-13.5,0,174.62,154.631201465082
18,-13.5,0,172.62,153.596060474273
19,-13.5,0,170.62,152.588421846169
20,-13.5,0,168.62,146.087046113366
21,-13.5,0,166.62,135.214295476641
22,-13.5,0,164.62,129.855173109241
23,-13.5,0,162.62,106.555681751013
24,-13.5,0,160.62,105.840411317267
25,-13.5,0,158.62,105.162142489684
26,-13.5,0,156.62,98.4591030096829
27,-13.5,0,154.62,89.6103215842264
28,-13.5,0,152.62,82.1739546724694
29,-13.5,0,150.62,81.7328464466395
30,-13.5,0,148.62,81.3309136846714
31,-13.5,0,146.62,80.969280365822
32,-13.5,0,144.62,80.6489819272202
33,-13.5,0,142.62,80.3709550345018
34,-13.5,0,140.62,80.7151462712301
35,-13.5,0,138.62,81.2449367724715
36,-13.5,0,136.62,81.7556018021713
37,-13.5,0,134.62,82.2459667001766
38,-13.5,0,132.62,82.7115479956209
39,-13.5,0,130.62,78.0652777120851
40,-13.5,0,128.62,72.4917710251333
41,-13.5,0,126.62,67.635444391751
42,-13.5,0,124.62,63.3619049314026
43,-13.5,0,122.62,60.5162298639709
44,-13.5,0,120.62,60.6885045203434
45,-13.5,0,118.62,60.8960052210843
46,-13.5,0,116.62,61.1381548774334
47,-13.5,0,114.62,62.5065221750158
48,-13.5,0,112.62,63.9598434631755
49,-13.5,0,110.62,69.323147357993
50,-13.5,0,108.62,75.3554078718128
51,-13.5,0,106.62,78.8866347719829
52,-13.5,0,104.62,82.754077062992
53,-13.5,0,102.62,83.3191410321087
54,-13.5,0,100.62,95.2033097043099
55,-13.5,0,98.62,110.826639677034
56,-13.5,0,96.62,123.921132148849
57,-13.5,0,94.62,139.970078782577
58,-13.5,0,92.62,140.908372976213
59,-13.5,0,90.62,141.877485032807
60,-13.5,0,88.62,142.875239295884
61,-13.5,0,86.62,186.653580682273
62,-13.5,0,84.62,187.746964094836
63,-13.5,0,82.62,188.860498688665
64,-13.5,0,80.62,189.991962841015
65,-13.5,0,78.62,191.139226765688
66,-13.5,0,76.62,192.300256151102
67,-13.5,0,74.62,194.745966731787
68,-13.5,0,72.62,198.007538842663
69,-13.5,0,70.62,202.776060638064
70,-13.5,0,68.62,207.786368720034
71,-13.5,0,66.62,212.841699729895
72,-13.5,0,64.62,217.940749221285
73,-13.5,0,62.62,223.083017273463
74,-13.5,0,60.62,224.241297332597
75,-13.5,0,58.62,225.397503608296
76,-13.5,0,56.62,226.550603528401
77,-13.5,0,54.62,227.699648344488
