# 迭代步,旋转角度(度),总误差
0,-37.200548,16.052950
1,-31.403326,28.708611
2,-54.449809,11.201811
3,-56.036845,10.990748
4,-16.505259,17.159011
5,0.515772,4.165248
6,48.918018,3.579046
7,-12.401930,2.339017
8,50.744548,45.671378
9,36.151091,13.565423
10,16.691690,17.619250
11,26.065227,15.886040
12,46.081884,5.272507
13,-21.291681,2.735942
14,9.691723,3.639410
15,10.615781,3.775964
16,7.201888,11.427242
17,55.628400,9.727211
18,4.310557,1.051297
19,-24.371704,13.473515
20,-2.101280,49.646939
21,24.589626,31.171164
22,-43.548473,2.348918
23,58.485747,0.748927
24,-53.099915,5.454805
25,-14.347196,7.914808
26,-51.347657,1.330958
27,30.410940,3.898305
28,-27.920623,9.234392
29,-6.957685,5.091100
30,-17.737358,30.798399
31,-58.917280,3.268240
32,-23.528612,11.153787
33,-44.364287,19.737310
34,-15.571694,0.618445
35,13.712349,28.934699
36,29.936901,2.713975
37,-8.699089,22.235742
38,32.551086,39.603242
39,-10.937196,7.139289
40,-48.605164,6.268830
41,15.351204,3.552369
42,44.870957,28.304191
43,-25.790355,1.456017
44,7.601686,32.704458
45,-40.174087,36.114899
46,41.409475,2.725624
47,20.188021,15.128953
48,42.796533,3.974456
49,-45.632756,2.325533
50,39.221605,59.593022
51,11.979211,10.833314
52,48.263275,18.800317
53,2.513547,0.811247
54,-33.532042,19.073204
55,23.680957,0.726028
56,-50.804058,4.228709
57,-9.235349,3.481472
58,21.591759,0.097794
59,32.051093,1.771906
60,-19.352088,3.760900
61,40.848878,29.731010
62,-4.280657,13.503897
63,59.845957,29.040558
64,-20.553998,2.608326
65,34.205337,16.115968
66,27.025387,39.581492
67,-38.373902,6.872516
68,-34.766852,10.431539
69,52.163584,4.195024
70,-46.703053,4.952287
71,-58.520744,13.098376
72,18.517244,2.812048
73,46.599974,1.637636
74,-0.153160,4.178774
75,-12.953213,11.187010
76,-49.751605,4.070482
77,-39.595996,11.816784
78,54.846501,3.611563
79,36.855654,1.184717
80,-29.025156,16.535391
81,-41.825822,4.830491
82,57.424790,8.935244
83,-35.339730,9.907669
84,53.494084,12.356722
85,14.403872,0.952685
86,-30.128480,0.151728
87,5.618025,13.850426
88,-5.179388,42.725117
89,19.272804,1.181479
90,-57.042048,1.881914
91,28.046844,15.029135
92,2.193179,9.837829
93,-2.618312,28.533959
94,-27.203439,19.907570
95,38.619009,4.742375
96,-12.400827,1.209990
97,-31.403326,23.989791
98,-24.587677,20.903124
99,-42.925564,12.175474
100,-26.669685,5.149306
101,37.132391,24.045994
102,48.918018,14.918595
103,-12.401930,19.689882
104,18.858382,5.145780
105,-49.832742,2.697129
106,16.691690,0.519210
107,26.065227,1.063956
108,11.558582,4.047465
109,-56.285305,0.895074
110,-5.282487,14.410979
111,41.001115,1.085367
112,20.013213,16.058228
113,55.628400,1.073658
114,28.248703,9.984834
115,-43.109818,20.197924
116,-2.101280,37.920062
117,-47.835252,9.061076
118,-43.548473,0.058853
119,34.715142,6.447906
120,-53.099915,6.526003
121,-35.729498,25.958287
122,-51.347657,2.696812
123,30.410940,4.568731
124,-27.920623,0.203276
125,32.826329,6.196608
126,-4.254101,11.876064
127,9.176693,7.824228
128,-44.746298,7.002047
129,-53.228654,10.994285
130,-47.658889,4.742505
131,-24.263351,5.508910
132,47.236230,0.053702
133,49.894589,29.429441
134,48.949773,9.321066
135,21.054725,3.871800
136,-58.336544,11.355081
137,15.351204,7.867383
138,44.870957,18.503639
139,-25.790355,6.651046
140,53.051384,35.603703
141,50.066471,18.067165
142,-40.140027,15.495935
143,-14.640715,13.627858
144,41.672329,1.683763
145,-50.013232,5.034420
146,39.221605,16.755867
147,-29.648383,2.205872
148,48.263275,7.553575
149,57.072230,22.774881
150,-20.065857,35.093998
151,34.013384,9.482239
152,7.802159,6.385921
153,-15.308067,10.763773
154,-15.752981,12.290773
155,32.051093,0.097942
156,43.541782,0.357144
157,1.032051,21.312256
158,-4.280657,1.961343
159,59.845957,18.655033
160,44.900271,2.771293
161,34.205337,14.077203
162,26.722345,8.353659
163,-38.373902,16.781482
164,-34.766852,7.187898
165,52.163584,0.099042
166,-46.703053,2.524828
167,-58.520744,5.747177
168,-57.841424,24.773881
169,3.619605,13.454647
170,44.998523,0.786636
171,14.705928,4.448907
172,58.191493,1.110724
173,14.421510,34.119793
174,-20.166789,17.181931
175,36.855654,20.570235
176,26.016132,0.659298
177,-55.891801,7.590927
178,-10.577726,17.639557
179,-35.339730,1.357345
180,51.699734,10.855954
181,5.996163,20.131928
182,31.699520,13.458961
183,50.373672,25.434770
184,-5.179388,0.596192
185,19.272804,10.469164
186,41.644745,0.982354
187,34.571940,14.626410
188,57.943696,0.100563
189,-33.470535,1.621499
190,0.094991,4.639587
191,17.629838,6.338188
192,44.004853,2.288086
193,-31.403326,0.980203
194,7.232877,24.431086
195,-56.036845,0.343487
196,-25.033874,1.527892
197,0.515772,37.800839
198,-6.818391,29.942609
199,-29.249409,2.305703
200,46.037735,12.912911
201,47.685167,8.471898
202,-8.771362,5.604468
203,26.065227,1.472943
204,17.514184,19.066123
205,54.319851,18.484320
206,43.824825,52.505447
207,41.001115,2.075539
208,7.201888,22.100509
209,-27.995588,2.400130
210,56.977940,5.414807
211,7.150445,11.825648
212,-2.101280,6.609906
213,56.739768,20.689147
214,-11.381079,31.410635
215,53.260999,2.138801
216,47.217755,0.369333
217,35.230944,7.435725
218,42.631540,0.131325
219,30.410940,2.189241
220,22.635276,8.370217
221,1.009789,4.651582
222,42.265705,4.937931
223,-58.917280,0.140022
224,-44.746298,10.701782
225,-53.228654,36.693136
226,36.477277,1.590794
227,-24.263351,16.663054
228,-43.548473,3.138054
229,15.544409,10.493506
230,48.949773,2.885167
231,21.054725,16.600986
232,-48.605164,3.155927
233,45.118368,10.486347
234,43.302603,23.976649
235,-2.482104,7.372310
236,24.789718,0.337713
237,47.691753,15.138640
238,54.324688,12.485213
239,16.198759,12.407707
240,41.672329,4.980873
241,41.384716,2.345257
242,44.911072,8.998529
243,2.942669,0.360912
244,36.079921,31.273425
245,35.455733,5.295186
246,34.947642,9.713104
247,7.410654,1.554284
248,-50.804058,16.915278
249,-15.753156,7.095483
250,-25.899106,9.128926
251,32.051093,0.888811
252,43.541782,4.259843
253,-55.147340,33.879975
254,-6.177152,0.842208
255,-47.117523,6.447461
256,-20.553998,0.928624
257,23.564068,0.846021
258,26.722345,4.533408
259,15.174201,4.631527
260,-34.766852,8.104061
261,33.611625,4.527497
262,53.405762,12.346403
263,15.690600,40.984185
264,18.517244,0.127124
265,41.396322,2.761723
266,44.998523,0.762960
267,26.113504,1.467471
268,58.191493,8.291894
269,21.094916,1.730894
270,-18.593896,4.067532
271,36.754482,0.214312
272,18.639129,3.368863
273,42.864094,12.560992
274,54.554085,13.977209
275,-35.339730,7.295632
276,51.699734,8.868010
277,49.304512,27.503749
278,-30.128480,19.478098
279,24.747805,11.209190
280,58.296471,6.314263
281,23.860483,28.194002
282,41.644745,0.652079
283,-24.472388,18.459734
284,57.943696,0.093949
285,54.894706,1.832420
286,26.634172,7.751094
287,57.785348,8.632711
288,-0.668631,17.245526
289,57.752047,0.921910
290,-54.449809,7.706092
291,-56.036845,13.359539
292,54.457004,2.231399
293,54.193356,13.419488
294,19.981897,6.043794
295,53.816738,34.250323
296,27.291610,5.220649
297,51.937442,39.526724
298,51.272325,8.890577
299,47.258005,6.244802
300,46.252902,6.875925
301,53.368415,55.982180
302,9.691723,0.971040
303,50.807146,1.811501
304,7.201888,6.531036
305,48.892297,7.848362
306,4.310557,0.325387
307,-8.511268,1.976962
308,-2.101280,7.132998
309,35.572359,5.202420
310,21.591759,0.144778
311,58.485747,9.390074
312,47.217755,0.314702
313,31.903918,1.503290
314,-0.613155,0.838314
315,36.543552,1.706816
316,-27.920623,0.470482
317,-5.563601,6.806414
318,42.265705,1.601854
319,2.780657,8.991476
320,45.851157,3.156013
321,49.903345,1.546191
322,36.723731,3.728265
323,-20.360677,47.057867
324,12.902451,0.165363
325,57.525098,6.107042
326,21.279978,4.055322
327,-56.334963,2.371242
328,-48.605164,2.187034
329,15.351204,8.205460
330,44.870957,0.372252
331,45.550680,3.070733
332,45.675636,0.062001
333,59.672048,10.590055
334,41.409475,3.430774
335,-36.708655,11.109457
336,41.672329,3.934710
337,57.431560,3.383761
338,47.299560,11.815266
339,2.942669,0.955308
340,48.263275,2.513398
341,-0.686142,5.600595
342,32.191705,1.897521
343,-32.045097,3.763293
344,58.308949,4.671887
345,-9.235349,2.768630
346,-25.899106,1.292024
347,53.032647,2.358338
348,44.041436,0.071122
349,-26.552635,23.363474
350,1.020495,0.603443
351,44.399219,0.772199
352,38.011018,2.255253
353,37.754861,0.728790
354,45.544880,5.042540
355,7.612155,1.728297
356,30.293467,10.026699
357,12.617154,0.103219
358,50.086705,3.965294
359,44.628198,0.436735
360,45.616414,0.721898
361,46.599974,1.710871
362,38.311441,0.801474
363,11.876523,1.208020
364,58.191493,14.880503
365,47.460761,1.405303
366,54.846501,0.083073
367,22.435315,0.109513
368,23.654413,8.305788
369,20.959486,1.345793
370,57.424790,1.135816
371,4.940860,1.924035
372,44.333483,1.542242
373,14.403872,8.088808
374,-30.128480,0.611245
375,29.058356,15.699065
376,57.887575,1.518037
377,19.272804,0.066143
378,50.132162,0.314421
379,34.571940,0.160176
380,57.943696,10.541831
381,-1.308852,22.636821
382,0.094991,3.604621
383,49.711441,1.559472
384,-1.079227,0.302626
385,-12.509076,0.933465
386,-54.449809,1.705989
387,-56.036845,0.644176
388,57.337560,5.613387
389,0.515772,5.556620
390,9.993033,0.859026
391,57.909878,2.691746
392,57.909944,9.150480
393,-27.451532,40.229125
394,-20.263171,4.846925
395,-36.587303,2.965309
396,-38.497160,4.664144
397,-56.285305,0.897757
398,56.218730,0.790155
399,41.001115,0.953235
400,57.205849,2.106342
401,55.628400,3.289457
402,48.432950,4.473361
403,17.485988,0.101726
404,9.162652,31.273424
405,-10.738350,0.266620
406,46.083640,0.087938
407,0.325453,6.461382
408,46.131232,8.248127
409,47.022934,2.574828
410,40.808676,7.872731
411,2.153759,26.405087
412,35.596736,1.408467
413,1.009789,1.679712
414,41.931980,1.742655
415,31.731055,0.222463
416,45.851157,0.699740
417,49.903345,1.499294
418,-26.375327,0.187758
419,12.526043,0.973683
420,19.655632,2.384069
421,-57.726101,0.976656
422,4.175221,1.101572
423,40.548006,0.058588
424,35.122237,1.900485
425,56.624439,8.632036
426,53.285100,3.876945
427,26.892087,3.232095
428,-56.137182,2.667248
429,43.708695,6.951378
430,41.409475,3.344232
431,-36.708655,44.593877
432,-59.402354,0.866892
433,-26.832775,0.167710
434,44.911072,3.291118
435,-32.028102,3.356657
436,-57.425351,2.118600
437,54.520162,4.574855
438,20.688575,4.620822
439,23.680957,9.137462
440,16.112802,3.309537
441,48.690293,0.294495
442,-25.899106,13.095971
443,27.860594,2.484385
444,32.765285,1.579547
445,43.573696,15.576571
446,46.677403,0.889989
447,31.153015,0.141932
448,-15.127797,4.034857
449,-12.257439,0.658053
450,-46.954591,0.856731
451,59.597637,0.379465
452,42.871690,3.652736
453,52.412101,0.260612
454,37.027477,4.254869
455,-13.421725,8.318194
456,29.750058,5.104199
457,-27.983237,2.905783
458,59.048586,2.643709
459,12.323271,0.193335
460,58.191493,0.833510
