X(mm),Y(mm),Velocity(mm/s)
-80.000,80.000,500.000000
-78.994,80.000,500.000000
-77.987,80.000,500.000000
-76.981,80.000,500.000000
-75.975,80.000,500.000000
-74.969,80.000,500.000000
-73.962,80.000,500.000000
-72.956,80.000,500.000000
-71.950,80.000,500.000000
-70.943,80.000,500.000000
-69.937,80.000,500.000000
-68.931,80.000,500.000000
-67.925,80.000,500.000000
-66.918,80.000,500.000000
-65.912,80.000,500.000000
-64.906,80.000,500.000000
-63.899,80.000,500.000000
-62.893,80.000,500.000000
-61.887,80.000,500.000000
-60.881,80.000,500.000000
-59.874,80.000,500.000000
-58.868,80.000,500.000000
-57.862,80.000,500.000000
-56.855,80.000,500.000000
-55.849,80.000,500.000000
-54.843,80.000,500.000000
-53.836,80.000,500.000000
-52.830,80.000,500.000000
-51.824,80.000,500.000000
-50.818,80.000,500.000000
-49.811,80.000,500.000000
-48.805,80.000,500.000000
-47.799,80.000,500.000000
-46.792,80.000,500.000000
-45.786,80.000,500.000000
-44.780,80.000,500.000000
-43.774,80.000,500.000000
-42.767,80.000,500.000000
-41.761,80.000,500.000000
-40.755,80.000,500.000000
-39.748,80.000,500.000000
-38.742,80.000,500.000000
-37.736,80.000,500.000000
-36.730,80.000,500.000000
-35.723,80.000,500.000000
-34.717,80.000,500.000000
-33.711,80.000,500.000000
-32.704,80.000,500.000000
-31.698,80.000,500.000000
-30.692,80.000,500.000000
-29.686,80.000,500.000000
-28.679,80.000,500.000000
-27.673,80.000,500.000000
-26.667,80.000,500.000000
-25.660,80.000,500.000000
-24.654,80.000,500.000000
-23.648,80.000,500.000000
-22.642,80.000,500.000000
-21.635,80.000,500.000000
-20.629,80.000,500.000000
-19.623,80.000,500.000000
-18.616,80.000,500.000000
-17.610,80.000,500.000000
-16.604,80.000,500.000000
-15.597,80.000,500.000000
-14.591,80.000,500.000000
-13.585,80.000,500.000000
-12.579,80.000,500.000000
-11.572,80.000,500.000000
-10.566,80.000,500.000000
-9.560,80.000,500.000000
-8.553,80.000,500.000000
-7.547,80.000,500.000000
-6.541,80.000,500.000000
-5.535,80.000,500.000000
-4.528,80.000,500.000000
-3.522,80.000,500.000000
-2.516,80.000,500.000000
-1.509,80.000,500.000000
-0.503,80.000,500.000000
0.503,80.000,500.000000
1.509,80.000,500.000000
2.516,80.000,500.000000
3.522,80.000,500.000000
4.528,80.000,500.000000
5.535,80.000,500.000000
6.541,80.000,500.000000
7.547,80.000,500.000000
8.553,80.000,500.000000
9.560,80.000,500.000000
10.566,80.000,500.000000
11.572,80.000,500.000000
12.579,80.000,500.000000
13.585,80.000,500.000000
